electron_density_m3,freq_ghz,transmission_coefficient
5e+18,25.764,0.65137
5e+18,25.965,0.67718
5e+18,26.165,0.70318
5e+18,26.366,0.72938
5e+18,26.566,0.75578
5e+18,26.767,0.78239
5e+18,26.967,0.80919
5e+18,27.168,0.83619
5e+18,27.368,0.86339
5e+18,27.569,0.8908
5e+18,27.769,0.9184
5e+18,27.97,0.9462
5e+18,28.17,0.9742
5e+18,28.371,1.0
5e+18,28.571,1.0
5e+18,28.772,1.0
5e+18,28.972,1.0
5e+18,29.173,1.0
5e+18,29.373,1.0
5e+18,29.574,1.0
5e+18,29.774,1.0
5e+18,29.975,1.0
5e+18,30.175,1.0
5e+18,30.376,1.0
5e+18,30.576,1.0
5e+18,30.777,1.0
5e+18,30.977,1.0
5e+18,31.178,1.0
5e+18,31.378,1.0
5e+18,31.579,1.0
5e+18,31.779,1.0
5e+18,31.98,1.0
5e+18,32.18,1.0
5e+18,32.381,1.0
5e+18,32.581,1.0
5e+18,32.782,1.0
5e+18,32.982,1.0
5e+18,33.183,1.0
5e+18,33.383,1.0
5e+18,33.584,1.0
5e+18,33.784,1.0
5e+18,33.985,1.0
5e+18,34.185,1.0
5e+18,34.386,1.0
5e+18,34.586,1.0
5e+18,34.787,1.0
5e+18,34.987,1.0
5e+18,35.188,1.0
5e+18,35.388,1.0
5e+18,35.589,1.0
5e+18,35.789,1.0
5e+18,35.99,1.0
5e+18,36.19,1.0
5e+18,36.391,1.0
5e+18,36.591,1.0
5e+18,36.792,1.0
5e+18,36.992,1.0
5e+18,37.193,1.0
5e+18,37.393,1.0
5e+18,37.594,1.0
5e+18,37.794,1.0
5e+18,37.995,1.0
5e+18,38.195,1.0
5e+18,38.396,1.0
5e+18,38.596,1.0
5e+18,38.797,1.0
5e+18,38.997,1.0
5e+18,39.198,1.0
5e+18,39.398,1.0
5e+18,39.599,1.0
5e+18,39.799,1.0
5e+18,40.0,1.0
